date,tqqq_close_usd_split_adj,cnn_fear_greed
2021-09-01,37.5775,43.1333
2021-09-02,37.5250,44.1667
2021-09-03,37.8625,44.0667
2021-09-07,38.0175,41.7000
2021-09-08,37.6275,38.5667
2021-09-09,37.2250,33.8000
2021-09-10,36.3875,20.6000
2021-09-13,36.3050,28.2667
2021-09-14,35.9925,24.8000
2021-09-15,36.7900,31.2000
2021-09-16,36.8625,31.5000
2021-09-17,35.5600,17.9333
2021-09-20,33.3725,11.1000
2021-09-21,33.4150,11.4500
2021-09-22,34.3925,20.0333
2021-09-23,35.3475,24.5000
2021-09-24,35.4475,23.8333
2021-09-27,34.5925,24.7667
2021-09-28,31.7075,12.4667
2021-09-29,31.4975,12.4833
2021-09-30,31.1425,9.9667
2021-10-01,31.7100,18.3333
2021-10-04,29.7600,9.5000
2021-10-05,30.9050,18.7667
2021-10-06,31.5150,20.0667
2021-10-07,32.3675,24.6000
2021-10-08,31.8700,25.2667
2021-10-11,31.1625,25.9000
2021-10-12,30.8450,22.7000
2021-10-13,31.5675,24.1000
2021-10-14,33.3100,31.8333
2021-10-15,33.9275,43.6333
2021-10-18,34.9450,46.5667
2021-10-19,35.7125,53.4000
2021-10-20,35.6000,56.5667
2021-10-21,36.2375,60.2000
2021-10-22,35.3200,59.5000
2021-10-25,36.3800,62.9667
2021-10-26,36.7200,63.0333
2021-10-27,37.0100,58.3333
2021-10-28,38.2250,64.4000
2021-10-29,38.7900,65.4333
2021-11-01,39.1725,66.1333
2021-11-02,39.6950,68.2667
2021-11-03,40.9550,72.2000
2021-11-04,42.4825,72.4333
2021-11-05,42.6400,73.6000
2021-11-08,42.4650,74.5333
2021-11-09,41.5900,77.1714
2021-11-10,39.7675,73.0857
2021-11-11,40.0900,72.2286
2021-11-12,41.3625,74.0000
2021-11-15,41.3500,71.6286
2021-11-16,42.2050,72.4857
2021-11-17,42.2550,69.2000
2021-11-18,43.5475,70.1429
2021-11-19,44.2850,62.7714
2021-11-22,42.7500,60.0000
2021-11-23,42.1675,60.3714
2021-11-24,42.5575,56.9429
2021-11-26,40.2100,31.2571
2021-11-29,42.7075,38.1143
2021-11-30,40.8725,24.7714
2021-12-01,38.7750,25.3571
2021-12-02,39.5050,22.9286
2021-12-03,37.5200,20.1571
2021-12-06,38.3975,21.2571
2021-12-07,41.8600,37.8857
2021-12-08,42.4425,41.3143
2021-12-09,40.6100,36.8571
2021-12-10,41.8675,42.0000
2021-12-13,40.0675,35.4000
2021-12-14,38.8750,31.5429
2021-12-15,41.4475,37.8000
2021-12-16,38.2850,33.5714
2021-12-17,37.7000,32.5143
2021-12-20,36.5725,29.4286
2021-12-21,39.0175,34.0286
2021-12-22,40.4100,39.5429
2021-12-23,41.3700,50.4857
2021-12-27,43.3475,56.4000
2021-12-28,42.8375,62.9714
2021-12-29,42.7700,64.0286
2021-12-30,42.3700,63.9714
2021-12-31,41.5825,62.5429
2022-01-03,42.7825,65.2286
2022-01-04,41.1200,64.2571
2022-01-05,37.3375,51.0286
2022-01-06,37.2350,52.1429
2022-01-07,36.0175,49.2571
2022-01-10,36.1500,51.1429
2022-01-11,37.7400,56.1143
2022-01-12,38.1700,55.9429
2022-01-13,35.4000,52.1714
2022-01-14,35.9350,55.8000
2022-01-18,33.3450,53.7143
2022-01-19,32.1850,44.8286
2022-01-20,30.9400,39.1429
2022-01-21,28.3350,26.7286
2022-01-24,28.7450,23.1286
2022-01-25,26.6250,20.8857
2022-01-26,26.5750,19.5143
2022-01-27,25.7800,18.6000
2022-01-28,28.1850,23.8571
2022-01-31,30.9150,29.2000
2022-02-01,31.5050,30.8000
2022-02-02,32.2500,28.8000
2022-02-03,28.3700,26.0571
2022-02-04,29.3500,27.6000
2022-02-07,28.6850,27.9143
2022-02-08,29.6600,28.9429
2022-02-09,31.5000,32.6571
2022-02-10,29.4100,33.6000
2022-02-11,26.6400,28.4857
2022-02-14,26.7150,25.6857
2022-02-15,28.6500,29.9714
2022-02-16,28.6450,32.0857
2022-02-17,26.1050,32.4571
2022-02-18,25.2200,29.5143
2022-02-22,24.4400,28.7714
2022-02-23,22.5700,18.8143
2022-02-24,24.7800,21.2286
2022-02-25,25.9550,28.1429
2022-02-28,26.2300,25.4714
2022-03-01,25.0200,22.9714
2022-03-02,26.2150,17.8286
2022-03-03,25.1200,21.7286
2022-03-04,24.0450,18.1714
2022-03-07,21.3600,16.9000
2022-03-08,21.0650,16.6714
2022-03-09,23.3200,18.0286
2022-03-10,22.5700,17.9571
2022-03-11,21.1700,19.0571
2022-03-14,19.9300,17.5000
2022-03-15,21.7750,21.8571
2022-03-16,24.2200,25.2571
2022-03-17,25.0300,33.6286
2022-03-18,26.5850,38.4286
2022-03-21,26.3950,40.9714
2022-03-22,27.9550,44.5429
2022-03-23,26.7750,45.2000
2022-03-24,28.5100,46.9143
2022-03-25,28.4650,49.3714
2022-03-28,29.7600,51.2571
2022-03-29,31.2850,52.7143
2022-03-30,30.3450,52.8000
2022-03-31,29.0900,59.2000
2022-04-01,28.9650,59.8000
2022-04-04,30.7750,61.6571
2022-04-05,28.7400,47.9143
2022-04-06,26.8500,46.4000
2022-04-07,27.0250,46.8286
2022-04-08,25.9200,46.0857
2022-04-11,24.0800,43.4000
2022-04-12,23.7700,42.0571
2022-04-13,25.1950,41.8000
2022-04-14,23.5000,39.8571
2022-04-18,23.5650,37.6000
2022-04-19,25.0800,39.6286
2022-04-20,23.9500,43.3143
2022-04-21,22.5450,38.9429
2022-04-22,20.7550,31.6286
2022-04-25,21.5250,29.9714
2022-04-26,19.1050,17.9000
2022-04-27,19.0200,16.2714
2022-04-28,21.0300,24.2571
2022-04-29,18.2650,14.3286
2022-05-02,19.1250,13.2714
2022-05-03,19.1700,30.4857
2022-05-04,21.0700,22.4000
2022-05-05,17.9300,13.1286
2022-05-06,17.3050,12.2429
2022-05-09,15.2600,8.1857
2022-05-10,15.7850,7.4000
2022-05-11,14.3800,4.0286
2022-05-12,14.2650,3.2000
2022-05-13,15.8150,11.2857
2022-05-16,15.3250,11.7429
2022-05-17,16.4800,15.2000
2022-05-18,14.0750,6.6000
2022-05-19,13.7900,13.7143
2022-05-20,13.6700,12.6571
2022-05-23,14.3450,17.8857
2022-05-24,13.4500,16.0000
2022-05-25,13.9900,17.5714
2022-05-26,15.1600,24.1143
2022-05-27,16.6450,29.5429
2022-05-31,16.5250,40.0571
2022-06-01,16.1400,40.6000
2022-06-02,17.4500,44.8286
2022-06-03,16.0700,35.4571
2022-06-06,16.2700,42.8000
2022-06-07,16.6650,45.6286
2022-06-08,16.3250,48.1143
2022-06-09,14.9950,47.0571
2022-06-10,13.3950,40.0000
2022-06-13,11.5400,25.0857
2022-06-14,11.6150,20.5286
2022-06-15,12.4500,29.2571
2022-06-16,10.9300,17.7000
2022-06-17,11.3350,16.9286
2022-06-21,12.1900,19.7286
2022-06-22,12.1450,26.8857
2022-06-23,12.6650,26.7429
2022-06-24,13.9900,30.8571
2022-06-27,13.6600,30.7714
2022-06-28,12.4150,28.1429
2022-06-29,12.4400,26.5429
2022-06-30,12.0000,24.3714
2022-07-01,12.1950,24.5714
2022-07-05,12.8250,22.1714
2022-07-06,13.0700,22.8286
2022-07-07,13.8800,27.6000
2022-07-08,13.9450,31.3429
2022-07-11,13.0550,30.3714
2022-07-12,12.6750,30.3143
2022-07-13,12.5950,27.2857
2022-07-14,12.7250,26.5143
2022-07-15,13.3950,33.2857
2022-07-18,13.0850,35.8857
2022-07-19,14.2300,39.3143
2022-07-20,14.9450,44.0857
2022-07-21,15.5800,48.2000
2022-07-22,14.7650,42.4286
2022-07-25,14.5450,42.2000
2022-07-26,13.6650,42.0000
2022-07-27,15.3700,46.6286
2022-07-28,15.8100,48.4857
2022-07-29,16.6800,52.4000
2022-08-01,16.6550,59.0857
2022-08-02,16.5000,57.3714
2022-08-03,17.8200,60.2571
2022-08-04,18.0750,61.5143
2022-08-05,17.6450,63.3143
2022-08-08,17.4650,64.7429
2022-08-09,16.8650,64.4571
2022-08-10,18.2500,65.1143
2022-08-11,17.9750,65.8286
2022-08-12,18.9900,68.0286
2022-08-15,19.4450,66.8286
2022-08-16,19.3200,67.9429
2022-08-17,18.6500,67.1429
2022-08-18,18.7750,66.3714
2022-08-19,17.6750,63.7143
2022-08-22,16.2850,60.3143
2022-08-23,16.2300,57.4286
2022-08-24,16.3550,57.5143
2022-08-25,17.2150,58.2571
2022-08-26,15.1200,55.7429
2022-08-29,14.6550,54.2857
2022-08-30,14.1650,49.8000
2022-08-31,13.9050,52.0857
2022-09-01,13.9200,49.3714
2022-09-02,13.3400,42.4571
2022-09-06,13.0350,40.6286
2022-09-07,13.8050,39.6286
2022-09-08,14.0300,40.3714
2022-09-09,14.9200,43.8000
2022-09-12,15.4650,47.6000
2022-09-13,12.9200,36.6286
2022-09-14,13.2100,41.8857
2022-09-15,12.5450,40.6571
2022-09-16,12.3000,35.2857
2022-09-19,12.5950,36.3143
2022-09-20,12.2950,36.1143
2022-09-21,11.6200,27.2143
2022-09-22,11.1900,24.4857
2022-09-23,10.6550,21.6857
2022-09-26,10.5100,17.6286
2022-09-27,10.5200,16.5143
2022-09-28,11.1350,17.0286
2022-09-29,10.1950,13.2571
2022-09-30,9.6600,16.4571
2022-10-03,10.3300,20.3857
2022-10-04,11.2900,27.8857
2022-10-05,11.2900,29.7143
2022-10-06,11.0050,23.1429
2022-10-07,9.7500,19.6714
2022-10-10,9.4450,19.4000
2022-10-11,9.0700,16.8857
2022-10-12,9.0500,15.9429
2022-10-13,9.6550,19.3714
2022-10-14,8.7850,16.4571
2022-10-17,9.6500,23.4000
2022-10-18,9.8900,28.8000
2022-10-19,9.7700,29.4286
2022-10-20,9.6050,39.0857
2022-10-21,10.2850,43.7429
2022-10-24,10.6350,47.2286
2022-10-25,11.2750,51.3714
2022-10-26,10.5300,53.8000
2022-10-27,9.9500,54.5714
2022-10-28,10.8500,57.1143
2022-10-31,10.4750,64.0571
2022-11-01,10.1500,63.5143
2022-11-02,9.1000,55.2857
2022-11-03,8.5750,55.5143
2022-11-04,8.9750,56.5143
2022-11-07,9.2600,59.6571
2022-11-08,9.4600,57.9429
2022-11-09,8.8000,54.0000
2022-11-10,10.7250,60.3429
2022-11-11,11.3350,63.7429
2022-11-14,11.0350,62.6857
2022-11-15,11.4800,66.9143
2022-11-16,11.0150,65.0857
2022-11-17,10.9300,61.4857
2022-11-18,10.9200,60.3429
2022-11-21,10.5900,60.9714
2022-11-22,11.0350,60.8000
2022-11-23,11.3650,64.2571
2022-11-25,11.1300,63.0857
2022-11-28,10.6400,59.7429
2022-11-29,10.3850,58.1714
2022-11-30,11.7800,73.9714
2022-12-01,11.8450,75.6000
2022-12-02,11.7050,68.1429
2022-12-05,11.1150,65.0857
2022-12-06,10.4100,61.8286
2022-12-07,10.2850,58.4286
2022-12-08,10.6500,55.6857
2022-12-09,10.4450,52.0857
2022-12-12,10.8250,57.2000
2022-12-13,11.1650,59.1714
2022-12-14,10.9000,60.9429
2022-12-15,9.8200,60.1429
2022-12-16,9.5300,44.1429
2022-12-19,9.1350,39.9714
2022-12-20,9.0950,38.3143
2022-12-21,9.4900,38.5429
2022-12-22,8.7700,37.0000
2022-12-23,8.7950,39.5143
2022-12-27,8.4200,39.9429
2022-12-28,8.0800,35.5143
2022-12-29,8.6500,37.1429
2022-12-30,8.6500,36.5143
2023-01-03,8.4550,36.6000
2023-01-04,8.5850,39.8571
2023-01-05,8.1800,44.1714
2023-01-06,8.8200,45.7143
2023-01-09,9.0050,47.2000
2023-01-10,9.2450,49.6571
2023-01-11,9.7050,54.2286
2023-01-12,9.8550,56.6857
2023-01-13,10.0500,61.3143
2023-01-17,10.1050,64.1429
2023-01-18,9.7300,58.4286
2023-01-19,9.4250,55.4286
2023-01-20,10.1950,58.5429
2023-01-23,10.8650,63.6000
2023-01-24,10.8000,63.0000
2023-01-25,10.7200,63.8857
2023-01-26,11.3400,68.0286
2023-01-27,11.6650,69.2000
2023-01-30,10.9650,67.4571
2023-01-31,11.4550,70.3429
2023-02-01,12.1950,82.1714
2023-02-02,13.4550,75.2000
2023-02-03,12.7600,76.1429
2023-02-06,12.4350,75.9143
2023-02-07,13.2050,76.3429
2023-02-08,12.4950,74.6286
2023-02-09,12.1600,72.6286
2023-02-10,11.9100,72.4857
2023-02-13,12.4750,71.8286
2023-02-14,12.7450,73.2571
2023-02-15,13.0300,73.6571
2023-02-16,12.2850,70.7143
2023-02-17,12.0200,69.4857
2023-02-21,11.1750,65.9143
2023-02-22,11.1850,64.1714
2023-02-23,11.4650,62.6571
2023-02-24,10.8850,60.6571
2023-02-27,11.1200,61.2286
2023-02-28,11.0650,61.2000
2023-03-01,10.7950,65.9143
